id,code,name,city,product_id
10629,LAS, NV: McCarran International,Las Vegas,10629
10630,LGA, NY: LaGuardia,New York,10630
10631,MCO, FL: Orlando International,Orlando,10631
10632,ORD, IL: Chicago O'Hare International,Chicago,10632
10633,SAN, CA: San Diego International,San Diego,10633
10634,SEA, WA: Seattle/Tacoma International,Seattle,10634
10635,SFO, CA: San Francisco International,San Francisco,10635
10636,TPA, FL: Tampa International,Tampa,10636
10637,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,10637
10638,BOS, MA: Logan International,Boston,10638
10639,BWI, MD: Baltimore/Washington International Thurgood Marshall,Baltimore,10639
10640,CLT, NC: Charlotte Douglas International,Charlotte,10640
10641,DCA, DC: Ronald Reagan Washington National,Washington,10641
10642,DEN, CO: Denver International,Denver,10642
10643,DFW, TX: Dallas/Fort Worth International,Dallas/Fort Worth,10643
10644,DTW, MI: Detroit Metro Wayne County,Detroit,10644
10645,EWR, NJ: Newark Liberty International,Newark,10645
10646,FLL, FL: Fort Lauderdale-Hollywood International,Fort Lauderdale,10646
10647,IAD, DC: Washington Dulles International,Washington,10647
10648,IAH, TX: George Bush Intercontinental/Houston,Houston,10648
10649,JFK, NY: John F. Kennedy International,New York,10649
10650,LAS, NV: McCarran International,Las Vegas,10650
10651,LAX, CA: Los Angeles International,Los Angeles,10651
10652,LGA, NY: LaGuardia,New York,10652
10653,MCO, FL: Orlando International,Orlando,10653
10654,MDW, IL: Chicago Midway International,Chicago,10654
10655,MIA, FL: Miami International,Miami,10655
10656,MSP, MN: Minneapolis-St Paul International,Minneapolis,10656
10657,ORD, IL: Chicago O'Hare International,Chicago,10657
10658,PDX, OR: Portland International,Portland,10658
10659,PHL, PA: Philadelphia International,Philadelphia,10659
10660,PHX, AZ: Phoenix Sky Harbor International,Phoenix,10660
10661,SAN, CA: San Diego International,San Diego,10661
10662,SEA, WA: Seattle/Tacoma International,Seattle,10662
10663,SFO, CA: San Francisco International,San Francisco,10663
10664,SLC, UT: Salt Lake City International,Salt Lake City,10664
10665,TPA, FL: Tampa International,Tampa,10665
10666,ATL, GA: Hartsfield-Jackson Atlanta International,Atlanta,10666
10667,BWI, MD: Baltimore/Washington International Thurgood Marshall,Baltimore,10667
10668,CLT, NC: Charlotte Douglas International,Charlotte,10668
10669,DCA, DC: Ronald Reagan Washington National,Washington,10669
10670,DTW, MI: Detroit Metro Wayne County,Detroit,10670
10671,IAD, DC: Washington Dulles International,Washington,10671
10672,IAH, TX: George Bush Intercontinental/Houston,Houston,10672
10673,JFK, NY: John F. Kennedy International,New York,10673
10674,LAS, NV: McCarran International,Las Vegas,10674
10675,LAX, CA: Los Angeles International,Los Angeles,10675
10676,MDW, IL: Chicago Midway International,Chicago,10676
10677,MSP, MN: Minneapolis-St Paul International,Minneapolis,10677
10678,PHX, AZ: Phoenix Sky Harbor International,Phoenix,10678
10679,SAN, CA: San Diego International,San Diego,10679
10680,SLC, UT: Salt Lake City International,Salt Lake City,10680
10681,TPA, FL: Tampa International,Tampa,10681
